                Name	              Artist	               Album	               Genre	      Time
        Killer Is Me	     Alice In Chains	       MTV Unplugged	              Grunge	      5:23
           Lionheart	      Blind Guardian	 A Twist In The Myth	         Heavy Metal	      4:17
            Track 04	          Hollow Leg	            Instinct	                    	      4:07
     Serve My Thirst	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:46
         Famous Dude	           Lil Dicky	             So Hard	             Hip Hop	      3:35
           Innocence	                Nero	  Innocence/Electron	                    	      5:16
       Being Nothing	           Nightrage	   What Lies Beneath	        General Rock	      3:06
           Dissident	           Pearl Jam	                  VS	         Alternative	      3:37
            Vasoline	 Stone Temple Pilots	              Purple	                Rock	      2:57
               Love?	 Strapping Young Lad	               Alien	               Metal	      4:53
           Date Rape	             Sublime	       Greatest Hits	Ska Revival/3rd Wave	      3:35
              Bounce	    System Of A Down	            Toxicity	               Metal	      1:54
    A Breath Beneath	         The Absence	     From Your Grave	               Metal	      4:40
  Tear Down the Wall	    Demons & Wizards	    Demons & Wizards	               Metal	      4:48
        Transmission	        Joy Division	 Substance 1977-1980	            New Wave	      3:36
               All K	           Lil Dicky	             So Hard	             Hip Hop	      3:19
        The Haunting	             Misfits	     American Psycho	            Rock/Pop	      1:26
          We Are 138	             Misfits	          Static Age	               Metal	      1:41
            Daughter	           Pearl Jam	                  VS	         Alternative	      3:57
    Comfortably Numb	          Pink Floyd	    P.U.L.S.E (CD 2)	         Psychedelic	      9:29
             Hey You	          Pink Floyd	      The Wall (CD2)	         Psychedelic	      4:41
             Amerika	           Rammstein	        Reise, Reise	 Hardcore Industrial	      3:46
          What I Got	             Sublime	       Greatest Hits	Ska Revival/3rd Wave	      2:49
The One Piece Puzzle	            Suidakra	         The Arcanum	 Melodic Death Metal	      5:15
         Prison song	    System Of A Down	            Toxicity	               Metal	      3:21
        Ancient Ones	           Zoroaster	             Matador	               Metal	      3:34
            Velocity	              Alarum	         Eventuality	       General Metal	      3:19
             Eclipse	   Apoptygma Berzerk	    Welcome To Earth	             Electro	      5:57
      Post(?)Organic	         Decapitated	Organic Hallucinosis	               Metal	      5:45
   The Day Of Strife	           Eluveitie	             Origins	               Metal	      3:49
       Zombie Eaters	       Faith No More	      The Real Thing	   Alternative Metal	      5:57
          Fallen Man	         Funker Vogt	            Survivor	          Electronic	      5:00
            Step 007	            Gramatik	        No Shortcuts	          Electronic	      5:30
           Wanted To	   Infected Mushroom	   Army of Mushrooms	               Dance	      3:24
  Flash Of The Blade	         Iron Maiden	          Powerslave	               Metal	      4:02
            My Party	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      4:10
             Tequila	         Korpiklaani	          Ukon Wacka	          Indie Rock	      2:42
            You Lose	        Misery Index	   Heirs To Thievery	               Metal	      2:30
              Mother	          Pink Floyd	      The Wall (CD1)	         Psychedelic	      5:33
        Empty Spaces	          Pink Floyd	      The Wall (CD1)	         Psychedelic	      2:08
        Naked Sunday	 Stone Temple Pilots	                Core	                Rock	      3:51
 Silver Gun Superman	 Stone Temple Pilots	              Purple	                Rock	      5:16
                Down	 Stone Temple Pilots	           Thank You	                Rock	      3:51
          Dirt Pride	 Strapping Young Lad	 Strapping Young Lad	   Black/Death Metal	      2:40
             Revival	       Beats Antique	     Blind Threshold	               Other	      4:30
       The Black Sea	         Disillusion	              Gloria	               Metal	      5:16
 Everything's Ruined	       Faith No More	          Angel Dust	           Rap Metal	      4:33
  Date of Expiration	         Funker Vogt	            Survivor	          Electronic	      6:06
         Faster Life	         Funker Vogt	            Survivor	          Electronic	      5:27
A Question Of Heaven	          Iced Earth	           Dark Saga	   Progressive Metal	      7:40
   Hold At All Costs	          Iced Earth	 The Glorious Burden	       General Metal	      7:05
      Nothing to Say	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:28
          Eat It Raw	   Infected Mushroom	   Vicious Delicious	          Electronic	      6:30
                 Ham	           Lil Dicky	             So Hard	             Hip Hop	      2:50
              Sports	           Lil Dicky	             So Hard	             Hip Hop	      2:58
 The Seventh Cavalry	        Misery Index	   Heirs To Thievery	               Metal	      4:44
              Forest	    System Of A Down	            Toxicity	               Metal	      4:00
     It Is Not Sound	               Ulver	        Blood Inside	          Avantgarde	      4:37
     Lost in Moments	               Ulver	      Perdition City	               Metal	      7:17
Super-Charger Heaven	        White Zombie	   Astro-Creep: 2000	         Heavy Metal	      3:37
 Beyond the dark sun	           Wintersun	           Wintersun	               Metal	      2:38
       Heaven Ablaze	         The Absence	     From Your Grave	               Metal	      4:44
          The Murder	         The Absence	Riders Of The Plague	               Metal	      5:22
     War of the Gods	         Amon Amarth	       Surtur Rising	               Metal	      4:33
            Milk Man	          Aphex Twin	            Girl/Boy	                    	      4:08
            Starsign	   Apoptygma Berzerk	    Welcome To Earth	             Electro	      5:35
   Non-Stop Violence	   Apoptygma Berzerk	            7 [2002]	  General Industrial	      6:51
        The Nameless	           Eluveitie	             Origins	               Metal	      4:12
Nothing (Intermezzo)	           Eluveitie	             Origins	               Metal	      0:57
            Sucellos	           Eluveitie	             Origins	               Metal	      5:05
       Make Me Wanna	           Girl Talk	             All Day	           Girl Talk	      6:23
    Hands In The Air	           Girl Talk	    Feed The Animals	                 Pop	      4:20
          Blood Ties	            Gramatik	        No Shortcuts	          Electronic	      6:11
            Track 08	          Hollow Leg	            Instinct	                    	      6:41
   Only for the Weak	           In Flames	             Clayman	               Metal	      4:55
   Vicious Delicious	   Infected Mushroom	   Vicious Delicious	          Electronic	      7:24
          Forgive Me	   Infected Mushroom	   Vicious Delicious	          Electronic	      3:29
     Auto-Suggestion	        Joy Division	 Substance 1977-1980	            New Wave	      6:08
   Where Eagles Dare	             Misfits	             Misfits	            Rock/Pop	      2:10
          Barbarella	       Scott Weiland	        12 Bar Blues	                Rock	      6:32
    Dead And Bloated	 Stone Temple Pilots	                Core	                Rock	      5:12
       Wicked Garden	 Stone Temple Pilots	           Thank You	                Rock	      4:01
   Oh My Fucking God	 Strapping Young Lad	                City	      Hardcore Metal	      3:34
Riders Of The Plague	         The Absence	Riders Of The Plague	               Metal	      4:00
          Prosperity	         The Absence	Riders Of The Plague	               Metal	      4:08
    This Mortal Coil	             Carcass	           Heartwork	                Rock	      3:49
  Last Cup Of Sorrow	       Faith No More	   Album Of The Year	   Alternative Metal	      4:10
    Prisoners of War	         Funker Vogt	            Survivor	          Electronic	      4:38
   This Is the Remix	           Girl Talk	             All Day	           Girl Talk	      6:02
            Track 10	          Hollow Leg	            Instinct	                    	      6:24
         Pinball Map	           In Flames	             Clayman	               Metal	      4:08
    Send Me an Angel	   Infected Mushroom	   Army of Mushrooms	               Dance	      7:25
       The Pretender	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:34
     Becoming Insane	   Infected Mushroom	   Vicious Delicious	          Electronic	      7:20
          Atmosphere	        Joy Division	 Substance 1977-1980	            New Wave	      4:10
          McFearless	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      3:09
  Wish You Were Here	          Pink Floyd	  Wish You Were Here	         Psychedelic	      5:40
      Midnight Toker	   Steve Miller Band	     ------N/A------	        Classic Rock	      4:25
               Plush	 Stone Temple Pilots	                Core	                Rock	      4:14
Interstate Love Song	 Stone Temple Pilots	              Purple	                Rock	      3:14
    Days Of The Week	 Stone Temple Pilots	           Thank You	                Rock	      2:35
            Room 429	 Strapping Young Lad	                City	      Hardcore Metal	      5:21
         Consequence	 Strapping Young Lad	 Strapping Young Lad	   Black/Death Metal	      4:02
             Spiders	    System Of A Down	    System Of A Down	         Alternative	      3:35
    Blinded By Blood	               Ulver	        Blood Inside	          Avantgarde	      6:22
     From Your Grave	         The Absence	     From Your Grave	               Metal	      4:15
         I, Deceiver	         The Absence	     From Your Grave	               Metal	      4:35
For Victory or Death	         Amon Amarth	       Surtur Rising	               Metal	      4:30
        Carnal Forge	             Carcass	           Heartwork	                Rock	      3:55
Fiddler on the Green	    Demons & Wizards	    Demons & Wizards	               Metal	      5:56
            Dread It	         Disillusion	              Gloria	               Metal	      4:24
              Gloria	         Disillusion	              Gloria	               Metal	      6:11
  The Hole We Are In	         Disillusion	              Gloria	               Metal	      5:35
    Land of Sunshine	       Faith No More	          Angel Dust	            Rock/Pop	      3:44
       Get It Get It	           Girl Talk	             All Day	           Girl Talk	      5:33
            Track 09	          Hollow Leg	            Instinct	                    	      5:12
           Artillery	   Infected Mushroom	   Vicious Delicious	          Electronic	      4:28
  Pazuzu For The Win	  iwrestledabearonce	  It's All Happening	                    	      4:00
               Orion	           Metallica	   Master Of Puppets	               Metal	      8:28
 Must Be the Feeling	                Nero	    www.viperial.com	                    	      4:25
      Circle Of Pain	           Nightrage	     Sweet Vengeance	       General Metal	      4:21
         Glorified G	           Pearl Jam	                  VS	         Alternative	      3:28
           Force Fed	 Strapping Young Lad	 Strapping Young Lad	   Black/Death Metal	      5:23
  Bring On The Young	 Strapping Young Lad	 Strapping Young Lad	   Black/Death Metal	      5:53
           Merciless	         The Absence	Riders Of The Plague	               Metal	      6:44
       Fade To Black	   Apoptygma Berzerk	    Welcome To Earth	             Electro	      5:27
            One Week	    Barenaked Ladies	               Stunt	                Folk	      2:48
                Daze	       Beats Antique	     Blind Threshold	               Other	      4:26
 Another Stranger Me	      Blind Guardian	 Another Stranger Me	         Power Metal	      4:38
    No Hard Feelings	 The Bloodhound Gang	           <Unknown>	           <Unknown>	      9:14
           Heartwork	             Carcass	           Heartwork	                Rock	      4:33
March Of The Poozers	      Devin Townsend	        Dark Matters	               Metal	      6:24
          Let It Out	           Girl Talk	             All Day	           Girl Talk	      6:29
       Jump on Stage	           Girl Talk	             All Day	           Girl Talk	      6:22
  Shut The Club Down	           Girl Talk	    Feed The Animals	                 Pop	      3:06
          Still Here	           Girl Talk	    Feed The Animals	                 Pop	      3:57
  Pallar Anders Visa	           In Flames	              Colony	               Metal	      1:40
 Coerced Coexistence	           In Flames	              Colony	               Metal	      4:12
    Nation of Wusses	   Infected Mushroom	   Army of Mushrooms	               Dance	      7:02
     Roll Us A Giant	   Infected Mushroom	          B.P.Empire	         Psychedelic	     10:36
   The Cat's Pajamas	  iwrestledabearonce	  It's All Happening	                    	      3:22
  She's Lost Control	        Joy Division	 Substance 1977-1980	            New Wave	      4:45
             On Call	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      3:22
          The Cypher	           Lil Dicky	             So Hard	             Hip Hop	      3:39
       Sex And Candy	    Marcy Playground	    Marcy Playground	         Alternative	      2:53
      Creeping Death	           Metallica	  Ride The Lightning	               Metal	      6:36
        About A Girl	             Nirvana	             Nirvana	              Grunge	      2:49
               Minus	                ohGr	                Welt	         Alternative	      4:19
             Hey You	          Pink Floyd	    P.U.L.S.E (CD 1)	         Psychedelic	      4:39
    Goodbye Blue Sky	          Pink Floyd	      The Wall (CD1)	         Psychedelic	      2:47
               Creep	 Stone Temple Pilots	           Thank You	                Rock	      5:33
           Rape Song	 Strapping Young Lad	 Strapping Young Lad	   Black/Death Metal	      3:09
Blur The Technicolor	        White Zombie	   Astro-Creep: 2000	         Heavy Metal	      4:09
       Dance With Me	               3oh!3	               3oh!3	         Hip Hop/Rap	      2:16
             My Ruin	         The Absence	     From Your Grave	               Metal	      5:17
Dead Sound Of Misery	      Blind Guardian	 A Twist In The Myth	         Heavy Metal	      5:20
  Poor Man's Crusade	    Demons & Wizards	    Demons & Wizards	               Metal	      4:01
     Storm Of Hatred	       Divine Empire	 Method of Execution	               Metal	      4:04
        That's Right	           Girl Talk	             All Day	           Girl Talk	      5:22
  Down for the Count	           Girl Talk	             All Day	           Girl Talk	      6:37
           Like This	           Girl Talk	    Feed The Animals	                 Pop	      3:21
         6 Feet Deep	         Gravediggaz	         6 Feet Deep	         Hip-Hop/Rap	      4:36
     High Water Mark	          Iced Earth	 The Glorious Burden	       General Metal	     12:35
Danger In The Manger	  iwrestledabearonce	  It's All Happening	                    	      2:19
      Leaders Of Men	        Joy Division	 Substance 1977-1980	            New Wave	      2:35
          01. Vodka 	         Korpiklaani	             Karkelo	          Folk Metal	      2:59
  Master of The Wind	             Manowar	The Triumph of Steel	                Rock	      5:26
   Master Of Puppets	           Metallica	   Master Of Puppets	               Metal	      8:36
       Closer To God	     Nine Inch Nails	       Closer To God	             Revival	      5:05
           Big Empty	 Stone Temple Pilots	              Purple	                Rock	      4:56
           Sour Girl	 Stone Temple Pilots	           Thank You	                Rock	      4:17
               Sugar	    System of a Down	    System of a Down	               Metal	      2:33
 Battle against time	           Wintersun	           Wintersun	               Metal	      7:03
          Cat Skillz	       Beats Antique	         Elektrafone	         Electronica	      5:29
 This Will Never End	      Blind Guardian	 A Twist In The Myth	         Heavy Metal	      5:07
Something Diabolical	 The Bloodhound Gang	           <Unknown>	           <Unknown>	      5:12
      Viking Funeral	          Clam Fight	            Volume I	               Metal	      7:32
 Smaller And Smaller	       Faith No More	          Angel Dust	   Alternative Metal	      5:11
             In Step	           Girl Talk	    Feed The Animals	                 Pop	      3:23
      Let Me See You	           Girl Talk	    Feed The Animals	                 Pop	      4:03
    Here's The Thing	           Girl Talk	    Feed The Animals	                 Pop	      4:45
          Don't Stop	           Girl Talk	    Feed The Animals	                 Pop	      2:58
  Constant Elevation	         Gravediggaz	         6 Feet Deep	         Hip-Hop/Rap	      2:30
              Before	   Infected Mushroom	   Vicious Delicious	          Electronic	      6:56
      Seek & Destroy	           Metallica	        Kill 'Em All	               Metal	      6:55
               Plush	 Stone Temple Pilots	           Thank You	                Rock	      5:14
             Odyssey	           Zoroaster	             Matador	               Metal	      5:37
       Dead And Gone	         The Absence	Riders Of The Plague	               Metal	      5:02
            I Got...	       Beats Antique	     Blind Threshold	               Other	      4:11
        the Whistler	    Demons & Wizards	    Demons & Wizards	               Metal	      5:15
            Stand Up	             Flobots	    Fight With Tools	             Hip-Hop	      4:38
           Every Day	           Girl Talk	             All Day	           Girl Talk	      5:10
            Track 01	          Hollow Leg	            Instinct	                    	      3:26
     The Stone Cross	    Job for a Cowboy	           Sun Eater	               Metal	      3:40
             Battery	           Metallica	   Master Of Puppets	               Metal	      5:12
             Choices	                Nero	 Solid Air / Choices	     HASH(0x9f697b8)	      7:02
            Ethereal	           Nightrage	     Sweet Vengeance	       General Metal	      4:51
               Creep	 Stone Temple Pilots	                Core	                Rock	      5:35
      Masquerade [*]	          Symphony X	         The Odyssey	               Metal	      5:59
      Winter madness	           Wintersun	           Wintersun	               Metal	      5:08
 The Victorious Dead	         The Absence	Riders Of The Plague	               Metal	      4:16
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
  Whole World Locked	       Break Science	       Monolith Code	                    	      4:12
            Deathray	      Devin Townsend	        Dark Matters	               Metal	      4:43
 Bloodstained Ground	           Eluveitie	              Slania	               Metal	      3:20
The Fall Of Asterion	 Fleshgod Apocalypse	           Labyrinth	               Metal	      4:39
            No Pause	           Girl Talk	    Feed The Animals	                 Pop	      3:12
    The Devil To Pay	          Iced Earth	 The Glorious Burden	       General Metal	     12:13
       The Pretender	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:34
              Warsaw	        Joy Division	 Substance 1977-1980	            New Wave	      2:25
         Last Caress	             Misfits	                    	                    	      1:58
                Hero	           Nightrage	     Sweet Vengeance	       General Metal	      3:57
  Serpents Unleashed	       Skeletonwitch	  Serpents Unleashed	               Metal	      2:11
           Sour Girl	 Stone Temple Pilots	               No. 4	                Rock	      4:17
            Vasoline	 Stone Temple Pilots	           Thank You	                Rock	      2:57
Interstate Love Song	 Stone Temple Pilots	           Thank You	                Rock	      3:14
                 AAA	 Strapping Young Lad	                City	      Hardcore Metal	      5:21
           Starchild	           Wintersun	           Wintersun	               Metal	      7:54
          Chokechain	               3OH!3	                Want	                Rock	      3:31
          Chokechain	               3oh!3	               3oh!3	         Hip Hop/Rap	      3:25
        Neatfreak 47	               3oh!3	               3oh!3	         Hip Hop/Rap	      2:09
        Windowlicker	          Aphex Twin	        Windowlicker	                    	      6:08
        Kathy's Song	   Apoptygma Berzerk	    Welcome To Earth	             Electro	      6:34
           The Porch	       Beats Antique	         Elektrafone	         Electronica	      4:07
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
    Calling The Rain	           Eluveitie	              Slania	               Metal	      5:06
     A Small Victory	       Faith No More	          Angel Dust	   Alternative Metal	      4:57
     Towards The Sun	 Fleshgod Apocalypse	           Labyrinth	               Metal	      5:42
      Give Me A Beat	           Girl Talk	    Feed The Animals	                 Pop	      4:12
    Nation of Wusses	   Infected Mushroom	   Army of Mushrooms	               Dance	      7:02
A Cloak Of Elvenkind	    Marcy Playground	    Marcy Playground	         Alternative	      2:59
             Thunder	           Matisyahu	               Light	              Reggae	      2:54
       Fade To Black	           Metallica	  Ride The Lightning	               Metal	      6:57
     Isolation Years	               Opeth	      Ghost Reveries	               Metal	      3:51
          Young Lust	          Pink Floyd	      The Wall (CD1)	         Psychedelic	      3:31
More Cruel Than Weak	       Skeletonwitch	  Serpents Unleashed	               Metal	      4:18
    Death In Silence	               Vader	      The Art Of War	               Metal	      2:10
          Dont Dance	               3oh!3	               3oh!3	         Hip Hop/Rap	      3:17
                Hott	               3oh!3	               3oh!3	         Hip Hop/Rap	      3:03
               Hornz	               3oh!3	               3oh!3	         Hip Hop/Rap	      3:25
           Fat Girls	     Alice In Chains	                Demo	              Grunge	      3:29
     Bleed The Freak	     Alice In Chains	     Publisher Demos	              Grunge	      3:39
       bbydhyonchord	          Aphex Twin	              drukQs	                    	      2:33
       ziggomatic 17	          Aphex Twin	              drukQs	                    	      8:35
    Heroes And Tombs	        At The Gates	 At War With Reality	               Metal	      3:59
       Fractal Point	             Atheist	            Elements	       General Metal	      0:44
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
    Dark Reflections	          Candlemass	      Essential Doom	               Metal	      5:06
   Death Certificate	             Carcass	           Heartwork	                Rock	      3:39
            Nihility	         Decapitated	            Nihility	         Death Metal	      4:57
              Celtos	           Eluveitie	             Origins	               Metal	      3:57
             Virunus	           Eluveitie	             Origins	               Metal	      4:51
           The Novel	            Gramatik	    Dreams About Her	            Trip-Hop	      5:40
             Trigger	           In Flames	   Reroute to Remain	               Metal	      4:54
             the fly	   infected mushroom	      my mummy said 	         Psychedelic	      7:41
   Worming Nightfall	    Job for a Cowboy	           Sun Eater	               Metal	      6:20
          Incubation	        Joy Division	 Substance 1977-1980	            New Wave	      2:52
           Candidate	        Joy Division	   Unknown Pleasures	          Indie Rock	      3:02
           Interzone	        Joy Division	   Unknown Pleasures	          Indie Rock	      2:16
           B Mashina	             Laibach	                 WAT	          Industrial	      3:50
    The Carrion Call	        Misery Index	   Heirs To Thievery	               Metal	      3:46
      Hybrid Moments	             Misfits	          Static Age	            Rock/Pop	      1:42
             Closure	               Opeth	           Damnation	               Metal	      5:15
      Lost For Words	          Pink Floyd	   The Division Bell	         Psychedelic	      5:15
          Cumbersome	 Stone Temple Pilots	                    	                Rock	      3:58
                   X	    System Of A Down	            Toxicity	               Metal	      1:58
